prg rom size: 0x4000, chr rom size: 0x2000
C79E  78        SEI                             A:00 X:00 Y:00 P:24 SP:FD CYC:12
C79F  D8        CLD                             A:00 X:00 Y:00 P:24 SP:FD CYC:14
C7A0  A9 10     LDA #$10                        A:00 X:00 Y:00 P:24 SP:FD CYC:16
C7A2  8D 00 20  STA $2000 = 00                  A:10 X:00 Y:00 P:24 SP:FD CYC:18
C7A5  A2 FF     LDX #$FF                        A:10 X:00 Y:00 P:24 SP:FD CYC:22
C7A7  9A        TXS                             A:10 X:FF Y:00 P:A4 SP:FD CYC:24
C7A8  AD 02 20  LDA $2002 = 00                  A:10 X:FF Y:00 P:A4 SP:FF CYC:26
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:30
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:32
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:35
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:39
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:41
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:44
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:48
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:50
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:53
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:57
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:59
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:62
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:66
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:68
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:71
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:75
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:77
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:80
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:84
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:86
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:89
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:93
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:95
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:98
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:102
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:104
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:107
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:111
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:113
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:116
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:120
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:122
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:125
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:129
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:131
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:134
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:138
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:140
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:143
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:147
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:149
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:152
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:156
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:158
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:161
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:165
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:167
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:170
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:174
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:176
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:179
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:183
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:185
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:188
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:192
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:194
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:197
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:201
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:203
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:206
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:210
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:212
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:215
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:219
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:221
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:224
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:228
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:230
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:233
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:237
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:239
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:242
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:246
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:248
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:251
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:255
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:257
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:260
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:264
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:266
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:269
C7AB  29 80     AND #$80                        A:00 X:FF Y:00 P:26 SP:FF CYC:273
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:275
C7A8  AD 02 20  LDA $2002 = 00                  A:00 X:FF Y:00 P:26 SP:FF CYC:278
